"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps","F_Proteus_Score","F_Proteus_Score_norm","country","F_admin_code","F_year_month.x","F_year","F_month","F_pop_source","F_countrypop","F_totalipc3plusabsfor","F_totalipc3pluspercfor","F_totalipc4plusabsfor","F_totalipc4pluspercfor","F_totalipc3plusabsnow","F_totalipc3pluspercnow","F_totalipc4plusabsnow","F_totalipc4pluspercnow","F_pctchangeipc3for","F_pctchangeipc4for","F_pctchangeipc3now","F_pctchangeipc4now","F_diffactfor","F_fshighrisk","F_year_month.y","F_max_ipc","F_fews_crm_norm","F_Apr","F_May","F_June","F_Jul","F_Aug","F_Sep","F_Oct","F_Nov","F_fpv","F_fpv_rating","F_fao_wfp_warning","Fr_Countryname.x","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country.of.origin..ISO.","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised","M_EIU_Score","M_Macroeconomic_risk_3","M_EIU_Score_12m","M_EIU_3m_change","M_EIU_12m_change","M_EIU_Score_norm","M_EIU_12m_change_norm","M_EIU_Score_12m_norm","NH_GDAC_Date","NH_GDAC_Hazard_Status","NH_GDAC_Hazard_Severity","NH_GDAC_Hazard_Type","NH_GDAC_Hazard_Score_Norm","NH_GDAC_Hazard_Score","NH_Hazard_Score","NH_Hazard_Score_norm","NH_seasonal_risk_norm","NH_locust_norm","NH_natural_acaps","S_INFORM_vul","S_INFORM_vul_norm","S_gdp_change.Value","S_gdp_change.Rating","S_unemployment.Value","S_unemployment.Rating","S_income_support.Value","S_income_support.Rating","S_gdp_change.Rating_norm","S_unemployment.Rating_norm","S_income_support.Rating_crm_norm","S_pov_comb_norm","S_pov_prop_22_21_norm","S_pov_prop_21_20_norm","S_pov_prop_20_19_norm","S_pov_prop_22_21","S_pov_prop_21_20","S_pov_prop_20_19","S_Subject.Descriptor","S_Subject.Notes","S_Units","S_Scale","S_X2017","S_X2018","S_X2019","S_X2020","S_X2021","S_X2022","S_X2023","S_X2024","S_X2025","S_Change.in.unemployement.rate.2019.to.2020","S_change_unemp_21","S_change_unemp_20","S_change_unemp_21_norm","S_change_unemp_20_norm","S_change_unemp_norm","S_Household.risks","S_Household.risks_raw","S_phone_average_index","S_phone_average_index_norm","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"53","Eritrea","ERI",22.4,9.52,0.18571952622054,0,0.01,0.01,0.000666666666667481,0.000666666666667481,16.959,0.081,0.67836,0.162000000000001,20210614,NA,52.6,NA,0,NA,60.12,NA,NA,4.21538461538462,10,5.9,NA,"5.4","Low","-999","High","Total border closure","Low","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","No income support","High","2","Low","-0.6 %","Medium","20.0 %","Medium","4.9 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Limited contact tracing - not done for all cases","Medium","-100.00%","Low",0,"Low",0,"Low",3.8,"Medium","No hotspot","Low","High","High",9.75,0,0,0.677,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eritrea","Eritrea","High-Institutional and Social Fragility",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"ERI",505118,0.871716142264191,"Not Fragile",0,0,"Not Fragile",8.71716142264191,0,"Apr 2021",0,0,0,0,-0.640512615220349,0.332977135014796,0.213276055556906,0,64,64,67.030303030303,0,-3.03030303030303,8.85245901639344,4.8899647887324,9.0887275412257,NA,NA,NA,NA,NA,NA,3.7,4.5,0,5,0,6,8.57142857142857,"-0.6 %","Medium","20.0 %","Medium","No income support","High",7,7,7,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4
"54","Georgia","GEO",52,3.6,0.553515835141596,5.38763608038849,-2.58132959722053,-17.6752383373851,0,0,174.293,4.942,6.97172,9.884,20210614,NA,59.79,NA,12.5,NA,66.55,NA,NA,3.10923076923077,8.75,4,NA,"340.6","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with minimal exceptions (e.g. allowed to leave on ...","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-6.1 %","High","NO DATA",NA,"5.2 %","High","Fully open","Low","NO DATA",NA,"-85.71%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low",3.4,"Medium",0,"Low",3.8,"Medium","NO DATA",NA,"NO CRISIS","Low",5,0,0,0.364,4.92822966507177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.15,0.14,0.12,0.09,0.06,0.05,0.06,0.14,5,NA,"Georgia","Georgia",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"GEO",7519,1.78804356036889,"Fragile",286216,1.24713885560134,"Fragile",10,10,"Apr 2021",0,0,0,0,-0.856712692125418,0.399320059268833,0.342102562995883,0,27.6666666666667,27.6666666666667,31.3030303030303,0,-3.63636363636363,1.70491803278689,4.00968309859156,1.83423578636475,NA,NA,NA,NA,NA,NA,4.5,5.83333333333333,0,0,0,2.3,3.28571428571428,"-6.1 %","High","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,NA,0,4.64343483120795,4.64343483120795,3.2109084347346,1.98061504938853,-0.57131303375841,-0.35781831305308,0.59418451481656,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,13.9,12.7,11.6,NA,NA,NA,NA,NA,NA,"#VALUE!",NA,NA,NA,NA,NA,10,1,NA,NA,0,0.3
"55","Guatemala","GTM",32.7,7.46,0.599395630000268,6.07292275718011,14.8211951399937,44.4308581900843,0.988079675999581,2.96205721267228,77.706,1.284,3.10824,2.568,20210614,NA,53.54,NA,50,NA,54.05,NA,NA,4.07076923076923,5,4.8,NA,"72.8","Medium","50","Medium","Screening","Medium","No measures","High","No measures","High","No income support","High","2","Low","-1.5 %","High","NO DATA",NA,"2.4 %","Low","Partially open","Medium","3,727,600","High","33.33%","High","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Limited contact tracing - not done for all cases","Medium","25.00%","High",1.9,"Low",0.4,"Low",3.8,"Medium","No hotspot","Low","Medium","High",7,0,0,0.43,6.50717703349282,"Guatemala",1011,"2021_02",2021,2,"GPW Version 4 Revision 11 (2018)",17988228.5783,7961234.3595,44.2580231001956,0,0,7961234.3595,44.2580231001956,0,0,12.2456275180831,NA,12.2456275180831,NA,0,"High risk","2021-02-01",3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Guatemala","Guatemala",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"GTM",22770,1.4029439640076,"Fragile",0,0,"Not Fragile",10,0,"Apr 2021",19,2.99573227355399,40,3.71357206670431,-2.54582592191009,0.54882728579061,5.1107907975216,0,40.6666666666667,39,42.3333333333333,1.66666666666666,-1.66666666666667,4.26229508196721,6.87059859154929,4.07396012798425,"2021-05-26","past","green","volcano",0,"past - green",6.7,9.5,7,0,0,5.3,7.57142857142857,"-1.5 %","High","NO DATA",NA,"No income support","High",10,NA,7,6.3854870390486,6.3854870390486,3.3467780391015,1.8065572060603,-0.22290259219028,-0.3306443921797,0.54196716181809,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,2.24941527048747,3.21345038641067,0,0.1
"56","Lesotho","LSO",30.2,7.96,0.292142857142858,1.48362081511472,-100,136.394180532112,0,9.09294536880744,5.602,0,0.224080000000001,0,20210614,49.79,49.79,0,0,56.9,56.9,0,NA,4.64769230769231,10,6,NA,"1.9","Low","-999","High","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","0","High","3.5 %","Low","NO DATA",NA,"4.9 %","Medium","Fully open","Low","374,195","Medium","NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Only those who both (a) have symptoms AND (b) meet specific criteria (eg ke ...","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,0,"Low",0,"Low",3.9,"Medium","No hotspot","Low","High","High",10,0,0,0.524,8.75598086124402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.1,0.11,0.12,0.13,0.13,0.13,0.13,0.11,5,NA,"Lesotho","Lesotho",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"LSO",6,-0.596670578370261,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",1,0.693147180559945,1,0.693147180559945,-0.267806274354677,0.456996290030724,0.815533654386983,0,48,48,50.6969696969697,0,-2.6969696969697,5.70491803278689,5.37411971830987,5.77221265075068,NA,NA,NA,NA,NA,NA,2.5,2.5,0,0,0,6.2,8.85714285714286,"3.5 %","Low","NO DATA",NA,"Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,NA,0,9.32857174246867,0,1.67800097621599,9.32857174246867,-1.6844101736545,-0.664399804756801,2.7985715227406,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3
"57","Mauritius","MUS",34.9,7.02,0.202249319727891,0.14091987868056,-100,264.69146946934,0,10,24.151,0,0.96604,0,20210614,NA,70.62,NA,75,NA,70,NA,NA,1.44307692307692,2.5,3.7,NA,"8.3","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","No measures","High","No measures","High","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","-15.8 %","High","10.9 %","Medium","2.5 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0.1,"Low",0.3,"Low","NO DATA",NA,"NO CRISIS","Low",4.25,0,0,0.233,1.79425837320574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.07,0.03,0.03,0.03,0.05,0.07,NA,0.03,3,NA,"Mauritius","Mauritius",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"MUS",178,1.48921772775335,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,27,25.9393939393939,-5,-3.93939393939394,0.590163934426229,3.56954225352113,0.745139059808025,NA,NA,NA,NA,NA,NA,3.7,4.5,10,0,0,2,2.85714285714286,"-15.8 %","High","10.9 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",10,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,7.1,6.9,6.7,21,11,7.5,7.3,7.3,7.3,"14.3",-10,14.3,0,10,10,NA,NA,6.18443660736084,8.83490943908691,0,0.3
"58","Myanmar","MMR",43.4,5.32,0.186232526040507,0,633.192834562698,299.608185616163,10,10,3.376,0.05,0.13504,0.0999999999999996,20210614,NA,63.96,NA,75,NA,62.38,NA,NA,2.46769230769231,2.5,4.8,NA,"0.9","Low","-999","High","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","3.2 %","Low","4.0 %","Low","5.0 %","High","Closed due to COVID-19","High","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","85.94%","High",5.5,"Medium",1.6,"Low",1,"Low","No hotspot","Low","High","High",7,0,0,0.454,7.08133971291866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.02,1,NA,"Myanmar","Myanmar","Medium-Intensity conflict",10,6,0,0,0,0,0,0,0,"Not Fragile",0,"MMR",1078268,0.774765179393668,"Not Fragile",312018,-1.34792677341101,"Not Fragile",7.74765179393668,0,"Apr 2021",476,6.16751649088834,1275,7.15148546390474,2.18454684905031,0.959166779939062,5.05614069707512,10,75.6666666666667,62,63.6666666666667,13.6666666666667,12,10,10,8.40573467880876,NA,NA,NA,NA,NA,NA,7.8,10,0,0,0,5,7.14285714285714,"3.2 %","Low","4.0 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,4.60829963684082,6.58328519548689,0,0.3
"59","Pakistan","PAK",35.5,6.9,0.687818783594743,7.39366120565945,-14.3445287107259,-47.7276744284103,0,0,5.535,0.259,0.221399999999999,0.518000000000001,20210614,NA,66.2,NA,75,NA,64.94,NA,NA,2.12307692307692,2.5,5.3,NA,"18.4","Low","50","Medium","Screening","Medium","No measures","High","Require not leaving house with minimal exceptions (e.g. allowed to leave on ...","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","1.5 %","Low","4.5 %","Low","8.7 %","High","Partially open","Medium","1,236,107","High","8.33%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","4.76%","Medium",2.9,"Medium",2.6,"Medium",3.8,"Medium","No hotspot","Low","High","High",8.25,0,0,0.435,6.62679425837321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.12,0.15,0.18,0.13,0.15,0.17,0.15,0.15,5,NA,"Pakistan","Pakistan",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"PAK",137190,-0.52438828070465,"Not Fragile",100680,-0.80775647078577,"Not Fragile",0,0,"Apr 2021",106,4.67282883446191,279,5.63478960316925,0.318370501603619,0.29168271526925,5.54192643079987,6.5918525080181,64.3333333333333,64.3333333333333,66.6666666666667,0,-2.33333333333334,8.91803278688525,5.90228873239436,9.01489047501846,NA,NA,NA,NA,NA,NA,7.4,10,7,0,0,5.3,7.57142857142857,"1.5 %","Low","4.5 %","Low","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",0,0,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,6.018,5.55,4.08,4.5,5.11,4.9,4.947,4.997,5.047,"0.42",0.61,0.42,6.1,1.4,6.1,0,0,NA,NA,0,0.3
"60","Seychelles","SYC",31.9,7.62,1,10,-38.4621868536341,-21.5939676458842,0,0,1183.939,5.811,10,10,20210614,69.79,69.79,50,50,72.62,72.62,1,1,1.57076923076923,5,4,NA,"2,595.1","High","80","Medium","Ban on high-risk regions","Medium","Recommend closing (or significantly reduce volume/route ...","Medium","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","1","Medium","1.8 %","Low","3.0 %","Low","3.7 %","Medium","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,0.1,"Low",0,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",5,0,0,0.25,2.20095693779904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seychelles","Seychelles",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SYC",15,-0.0655403131366347,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3333333333333,40,44.2424242424242,3.33333333333334,-0.909090909090907,4.78688524590164,7.97095070422536,4.46160472557224,NA,NA,NA,NA,NA,NA,2.8,3,0,0,0,1.6,2.28571428571429,"1.8 %","Low","3.0 %","Low","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",0,0,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,3,3,3,3,3,3,3,3,3,"0",0,0,0,0,0,NA,NA,NA,NA,0,0.4
"61","Spain","ESP",65.9,0.819999999999999,0.195007268227491,0.0327484838181711,13.2779281020487,-4.91460516561403,0.885195206803246,0,108.832,0.932,4.35328,1.864,20210614,NA,60.78,NA,87.5,NA,56.96,NA,NA,2.95692307692308,1.25,2.8,NA,"132.1","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-11.0 %","High","16.8 %","Medium","-0.3 %","Medium","Fully open","Low","NO DATA",NA,"15.49%","Medium","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","0.00%","Medium",2.7,"Medium",0,"Low",3.5,"Medium","NO DATA",NA,"Low","Medium",2,0,0,0.151,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.03,3,NA,"Spain","Spain",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"ESP",51,0.248164935593026,"Not Fragile",0,0,"Not Fragile",2.48164935593026,0,"Apr 2021",0,0,0,0,-0.503236279740196,0.295152684079333,0.148531538691417,0,27,40.3333333333333,36.5757575757576,-13.3333333333333,-9.57575757575757,1.57377049180328,0,2.90487324636968,NA,NA,NA,NA,NA,NA,4.1,5.16666666666667,0,0,0,0.5,0.714285714285714,"-11.0 %","High","16.8 %","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low",10,7,3,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,17.225,15.255,14.105,16.805,16.791,15.659,14.883,14.373,14.247,"2.7",-0.0139999999999993,2.7,0,9,9,NA,NA,NA,NA,0,0.3
"62","Suriname","SUR",36.5,6.7,0.264682539682536,1.07345791543318,52.564321927085,29.291255729493,3.50428812847233,1.9527503819662,445.885,13.15,10,10,20210614,NA,73.75,NA,25,NA,80.71,NA,NA,0.961538461538462,7.5,3.6,NA,"485.3","High","80","Medium","Total border closure","Low","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","2","Low","0.7 %","Medium","11.3 %","Medium","34.9 %","High","Closed due to COVID-19","High","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","NO DATA",NA,8.6,"High",0,"Low",0,"Low","NO DATA",NA,"NO CRISIS","Low",4,0,0,0.389,5.52631578947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suriname","Suriname",NA,0,6,0,0,0,0,0,0,0,"Not Fragile",0,"SUR",17,-0.456435464587638,"Not Fragile",0,0,"Not Fragile",0,0,"Apr 2021",0,0,0,0,-0.629159254278396,0.591503246806638,0.372149741664114,0,64.3333333333333,64.3333333333333,69.1818181818182,0,-4.84848484848484,8.91803278688525,2.24911971830987,9.52559684961851,NA,NA,NA,NA,NA,NA,3.9,4.83333333333333,0,0,0,3.4,4.85714285714286,"0.7 %","Medium","11.3 %","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium",7,7,0,NA,NA,NA,NA,NA,NA,NA,"Unemployment rate","Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]","Percent of total labor force",NA,7,9,8.953,11.225,10.967,10.624,10.136,9.617,9.254,"2.272",-0.257999999999999,2.272,0,7.57333333333333,7.57333333333333,NA,NA,NA,NA,0,0.4
